split_scheme,seed,feature_level,partition,class,precision,recall,f1_score,support
Grouped-random,42,B,validation,NORMAL,0.6513761467889908,0.4018867924528302,0.4970828471411902,530.0
Grouped-random,42,B,validation,ACCIDENT,0.09178743961352658,0.24050632911392406,0.13286713286713286,79.0
Grouped-random,42,B,validation,OTHER_DISRUPTION,0.204,0.2914285714285714,0.24,175.0
Grouped-random,42,B,test,NORMAL,0.6538461538461539,0.3456561922365989,0.45223700120918986,541.0
Grouped-random,42,B,test,ACCIDENT,0.11203319502074689,0.36486486486486486,0.17142857142857143,74.0
Grouped-random,42,B,test,OTHER_DISRUPTION,0.241635687732342,0.35911602209944754,0.28888888888888886,181.0
Grouped-random,52,B,train,NORMAL,0.6940726577437859,0.2892430278884462,0.40832395950506184,2510.0
Grouped-random,52,B,train,ACCIDENT,0.12724014336917563,0.4034090909090909,0.19346049046321526,352.0
Grouped-random,52,B,train,OTHER_DISRUPTION,0.24556795797767564,0.45443499392466585,0.3188405797101449,823.0
Grouped-random,52,B,validation,NORMAL,0.697560975609756,0.269811320754717,0.3891156462585034,530.0
Grouped-random,52,B,validation,ACCIDENT,0.12133891213389121,0.3670886075949367,0.18238993710691823,79.0
Grouped-random,52,B,validation,OTHER_DISRUPTION,0.23823529411764705,0.46285714285714286,0.3145631067961165,175.0
Grouped-random,52,B,test,NORMAL,0.6574074074074074,0.26247689463955637,0.3751651254953765,541.0
Grouped-random,52,B,test,ACCIDENT,0.11618257261410789,0.3783783783783784,0.17777777777777778,74.0
Grouped-random,52,B,test,OTHER_DISRUPTION,0.25663716814159293,0.48066298342541436,0.3346153846153846,181.0
Grouped-random,62,B,train,NORMAL,0.6980920314253648,0.24780876494023904,0.36577477212584536,2510.0
Grouped-random,62,B,train,ACCIDENT,0.11634546752319772,0.4630681818181818,0.18596691386195094,352.0
Grouped-random,62,B,train,OTHER_DISRUPTION,0.2455132806891601,0.4155528554070474,0.30866425992779783,823.0
Grouped-random,62,B,validation,NORMAL,0.7,0.21132075471698114,0.32463768115942027,530.0
Grouped-random,62,B,validation,ACCIDENT,0.11428571428571428,0.4050632911392405,0.17827298050139276,79.0
Grouped-random,62,B,validation,OTHER_DISRUPTION,0.23837209302325582,0.4685714285714286,0.3159922928709056,175.0
Grouped-random,62,B,test,NORMAL,0.6551724137931034,0.21072088724584104,0.31888111888111886,541.0
Grouped-random,62,B,test,ACCIDENT,0.10247349823321555,0.3918918918918919,0.16246498599439776,74.0
Grouped-random,62,B,test,OTHER_DISRUPTION,0.22713864306784662,0.425414364640884,0.29615384615384616,181.0
