split_scheme,seed,feature_level,partition,class,precision,recall,f1_score,support
Grouped-random,62,B,test,OTHER_DISRUPTION,0.2601626016260163,0.17679558011049723,0.21052631578947367,181.0
Grouped-random,42,C,train,NORMAL,0.6812313803376365,0.546613545816733,0.6065428824049514,2510.0
Grouped-random,42,C,train,ACCIDENT,0.13157894736842105,0.2556818181818182,0.17374517374517376,352.0
Grouped-random,42,C,train,OTHER_DISRUPTION,0.232016210739615,0.2782503037667072,0.25303867403314917,823.0
Grouped-random,42,C,validation,NORMAL,0.6841004184100419,0.6169811320754717,0.6488095238095238,530.0
Grouped-random,42,C,validation,ACCIDENT,0.1048951048951049,0.189873417721519,0.13513513513513514,79.0
Grouped-random,42,C,validation,OTHER_DISRUPTION,0.2392638036809816,0.22285714285714286,0.23076923076923078,175.0
Grouped-random,42,C,test,NORMAL,0.6666666666666666,0.532347504621072,0.591983556012333,541.0
Grouped-random,42,C,test,ACCIDENT,0.12422360248447205,0.2702702702702703,0.1702127659574468,74.0
Grouped-random,42,C,test,OTHER_DISRUPTION,0.2413793103448276,0.27071823204419887,0.2552083333333333,181.0
Grouped-random,52,C,train,NORMAL,0.7212787212787213,0.28764940239043824,0.4112788379379094,2510.0
Grouped-random,52,C,train,ACCIDENT,0.13076923076923078,0.4346590909090909,0.20105124835742444,352.0
Grouped-random,52,C,train,OTHER_DISRUPTION,0.2562747688243065,0.47144592952612396,0.33204963628583656,823.0
Grouped-random,52,C,validation,NORMAL,0.7373271889400922,0.3018867924528302,0.428380187416332,530.0
Grouped-random,52,C,validation,ACCIDENT,0.12345679012345678,0.379746835443038,0.18633540372670807,79.0
Grouped-random,52,C,validation,OTHER_DISRUPTION,0.2345679012345679,0.4342857142857143,0.3046092184368738,175.0
Grouped-random,52,C,test,NORMAL,0.6590909090909091,0.2680221811460259,0.38107752956636004,541.0
Grouped-random,52,C,test,ACCIDENT,0.1214574898785425,0.40540540540540543,0.18691588785046728,74.0
Grouped-random,52,C,test,OTHER_DISRUPTION,0.270516717325228,0.49171270718232046,0.34901960784313724,181.0
Grouped-random,62,C,train,NORMAL,0.6773399014778325,0.43824701195219123,0.5321722302854378,2510.0
Grouped-random,62,C,train,ACCIDENT,0.1093525179856115,0.4318181818181818,0.17451205510907003,352.0
Grouped-random,62,C,train,OTHER_DISRUPTION,0.21907600596125187,0.17861482381530985,0.19678714859437751,823.0
Grouped-random,62,C,validation,NORMAL,0.6925287356321839,0.4547169811320755,0.5489749430523918,530.0
Grouped-random,62,C,validation,ACCIDENT,0.08928571428571429,0.31645569620253167,0.1392757660167131,79.0
Grouped-random,62,C,validation,OTHER_DISRUPTION,0.23076923076923078,0.2057142857142857,0.2175226586102719,175.0
Grouped-random,62,C,test,NORMAL,0.6685714285714286,0.43253234750462105,0.5252525252525253,541.0
Grouped-random,62,C,test,ACCIDENT,0.11960132890365449,0.4864864864864865,0.192,74.0
Grouped-random,62,C,test,OTHER_DISRUPTION,0.25517241379310346,0.20441988950276244,0.22699386503067484,181.0
Grouped-random,42,D,train,NORMAL,0.6887244231606443,0.6302788844621514,0.6582067817765759,2510.0
