split_scheme,feature_level,class,partition,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean
Grouped-random,C,NORMAL,validation,0.7046521143274393,0.028609517795763137,0.45786163522012574,0.15757070588328673,0.5420548847594159,0.11037748181023775,530.0
Grouped-random,C,OTHER_DISRUPTION,test,0.25568948048771967,0.014575583688497073,0.32228360957642727,0.15042782951500655,0.2770739354023818,0.06388387036345548,181.0
Grouped-random,C,OTHER_DISRUPTION,train,0.2357889951750578,0.018884184293547938,0.309437019036047,0.1488857700551757,0.26062515297112104,0.0679496220823026,823.0
Grouped-random,C,OTHER_DISRUPTION,validation,0.23486697856159341,0.004255176573764974,0.2876190476190476,0.12730594142100532,0.25096703593879216,0.04692526745644341,175.0
Grouped-random,D,ACCIDENT,test,0.10496245093019287,0.007842425162305662,0.2882882882882883,0.09491579957524991,0.1524276626385089,0.022839346761638884,74.0
Grouped-random,D,ACCIDENT,train,0.1240749082693773,0.012233003305724584,0.324810606060606,0.1270916596197547,0.17603733718046544,0.026120919496622527,352.0
Grouped-random,D,ACCIDENT,validation,0.09965658823706514,0.015358007829791279,0.23628691983122363,0.10765696896348584,0.13810572160137835,0.03515592355250416,79.0
Grouped-random,D,NORMAL,test,0.6734626527457791,0.010593857597482763,0.4731977818853974,0.14581514544749083,0.5460008286178436,0.10345976905459278,541.0
Grouped-random,D,NORMAL,train,0.7053824171961659,0.031495329466303686,0.48339973439575035,0.17210847963414624,0.558194805306057,0.12281712996587149,2510.0
Grouped-random,D,NORMAL,validation,0.6906389530118239,0.021802641855078294,0.4993710691823899,0.18919112953183795,0.5652772818546096,0.13734825842056564,530.0
Grouped-random,D,OTHER_DISRUPTION,test,0.21333014811275683,0.04735659564560466,0.26519337016574585,0.15400397640625804,0.2319204807243085,0.08859192227494116,181.0
Grouped-random,D,OTHER_DISRUPTION,train,0.2445477297094032,0.021123934271083618,0.31024706358849735,0.1400299723771045,0.2677987833579117,0.06324920222700874,823.0
Grouped-random,D,OTHER_DISRUPTION,validation,0.24678659715679063,0.0262243786665785,0.30857142857142855,0.1240144823669183,0.26761156984280715,0.048874506494186586,175.0
Spatial,A,ACCIDENT,test,0.13559227727495113,0.012394931328331499,0.3333333333333333,0.08997740700647829,0.19154356077172197,0.027785222173253448,74.0
Spatial,A,ACCIDENT,train,0.10855944120645271,0.002057377519543067,0.3621517771373679,0.037611473487899894,0.1667534683446165,0.0028181977265378942,347.0
Spatial,A,ACCIDENT,validation,0.11268895223287552,0.0025312781503254262,0.32936507936507936,0.018184824186332688,0.16782858606265827,0.0029992581906461524,84.0
Spatial,A,NORMAL,test,0.7099316792412896,0.024731120052141946,0.22006472491909387,0.02829448931313189,0.3350835581102267,0.03246744569177405,515.0
Spatial,A,NORMAL,train,0.6867381998400143,0.008641056669078676,0.3260495298635942,0.048402509056042875,0.44063588178279284,0.04230348967915531,2517.0
Spatial,A,NORMAL,validation,0.7053594697978114,0.02312327421165956,0.3132969034608379,0.04137638139016596,0.43227349898558565,0.034573802680082345,549.0
