event_sample_id,station_id,anchor_time,window_start,window_end,target_class,split_group_id,sample_type,flow_t_minus_3,flow_t_minus_2,flow_t_minus_1,flow_t0,flow_t_plus_1,flow_t_plus_2,flow_t_plus_3
INCIDENT__227895-webtirf__9658,9658,2025-03-18 21:00:00,2025-03-18 18:00:00,2025-03-19 00:00:00,ACCIDENT,GROUP__9658__0010,INCIDENT,1129.0,782.0,642.0,600.0,468.0,275.0,1.0
INCIDENT__231525-webtirf__9658,9658,2025-04-15 05:00:00,2025-04-15 02:00:00,2025-04-15 08:00:00,OTHER_DISRUPTION,GROUP__9658__0011,INCIDENT,65.0,93.0,181.0,543.0,846.0,1178.0,1072.0
INCIDENT__231735-webtirf__9658,9658,2025-04-16 23:00:00,2025-04-16 20:00:00,2025-04-17 02:00:00,OTHER_DISRUPTION,GROUP__9658__0012,INCIDENT,689.0,588.0,463.0,309.0,143.0,130.0,80.0
INCIDENT__231957-webtirf__9658,9658,2025-04-19 22:00:00,2025-04-19 19:00:00,2025-04-20 01:00:00,OTHER_DISRUPTION,GROUP__9658__0013,INCIDENT,907.0,703.0,541.0,599.0,383.0,5.0,7.0
INCIDENT__232984-webtirf__9658,9658,2025-04-29 10:00:00,2025-04-29 07:00:00,2025-04-29 13:00:00,ACCIDENT,GROUP__9658__0014,INCIDENT,94.0,113.0,180.0,162.0,190.0,158.0,172.0
INCIDENT__234074-webtirf__9658,9658,2025-05-09 04:00:00,2025-05-09 01:00:00,2025-05-09 07:00:00,OTHER_DISRUPTION,GROUP__9658__0015,INCIDENT,98.0,79.0,94.0,187.0,510.0,906.0,1292.0
INCIDENT__234815-webtirf__9658,9658,2025-05-16 04:00:00,2025-05-16 01:00:00,2025-05-16 07:00:00,OTHER_DISRUPTION,GROUP__9658__0016,INCIDENT,29.0,12.0,36.0,49.0,77.0,109.0,91.0
INCIDENT__235819-webtirf__9658,9658,2025-05-21 09:00:00,2025-05-21 06:00:00,2025-05-21 12:00:00,ACCIDENT,GROUP__9658__0017,INCIDENT,951.0,1317.0,1035.0,888.0,872.0,906.0,867.0
INCIDENT__238575-webtirf__9658,9658,2025-06-10 08:00:00,2025-06-10 05:00:00,2025-06-10 11:00:00,OTHER_DISRUPTION,GROUP__9658__0018,INCIDENT,445.0,881.0,1257.0,1084.0,949.0,786.0,857.0
INCIDENT__238832-webtirf__9658,9658,2025-06-12 11:00:00,2025-06-12 08:00:00,2025-06-12 14:00:00,ACCIDENT,GROUP__9658__0019,INCIDENT,1063.0,922.0,928.0,854.0,895.0,903.0,979.0
INCIDENT__239377-webtirf__9658,9658,2025-06-18 02:00:00,2025-06-17 23:00:00,2025-06-18 05:00:00,ACCIDENT,GROUP__9658__0020,INCIDENT,40.0,152.0,96.0,76.0,82.0,185.0,481.0
INCIDENT__240095-webtirf__9658,9658,2025-06-24 20:00:00,2025-06-24 17:00:00,2025-06-24 23:00:00,ACCIDENT,GROUP__9658__0021,INCIDENT,1010.0,949.0,773.0,604.0,554.0,455.0,281.0
INCIDENT__241758-webtirf__9658,9658,2025-07-09 23:00:00,2025-07-09 20:00:00,2025-07-10 02:00:00,OTHER_DISRUPTION,GROUP__9658__0022,INCIDENT,49.0,39.0,45.0,34.0,169.0,122.0,66.0
INCIDENT__244979-webtirf__9658,9658,2025-08-07 08:00:00,2025-08-07 05:00:00,2025-08-07 11:00:00,ACCIDENT,GROUP__9658__0023,INCIDENT,107.0,154.0,116.0,129.0,159.0,194.0,214.0
INCIDENT__245561-webtirf__9658,9658,2025-08-13 02:00:00,2025-08-12 23:00:00,2025-08-13 05:00:00,ACCIDENT,GROUP__9658__0024,INCIDENT,45.0,147.0,99.0,53.0,73.0,191.0,506.0
INCIDENT__247767-webtirf__9658,9658,2025-08-31 07:00:00,2025-08-31 04:00:00,2025-08-31 10:00:00,OTHER_DISRUPTION,GROUP__9658__0025,INCIDENT,134.0,136.0,284.0,506.0,696.0,1030.0,1116.0
INCIDENT__248156-webtirf__9658,9658,2025-09-04 03:00:00,2025-09-04 00:00:00,2025-09-04 06:00:00,OTHER_DISRUPTION,GROUP__9658__0026,INCIDENT,147.0,94.0,59.0,86.0,177.0,498.0,852.0
INCIDENT__249085-webtirf__9658,9658,2025-09-10 21:00:00,2025-09-10 18:00:00,2025-09-11 00:00:00,OTHER_DISRUPTION,GROUP__9658__0027,INCIDENT,933.0,771.0,610.0,612.0,462.0,290.0,152.0
INCIDENT__249952-webtirf__9658,9658,2025-09-18 06:00:00,2025-09-18 03:00:00,2025-09-18 09:00:00,OTHER_DISRUPTION,GROUP__9658__0028,INCIDENT,84.0,185.0,497.0,897.0,1225.0,1032.0,934.0
INCIDENT__251003-webtirf__9658,9658,2025-09-29 04:00:00,2025-09-29 01:00:00,2025-09-29 07:00:00,OTHER_DISRUPTION,GROUP__9658__0029,INCIDENT,16.0,15.0,26.0,43.0,101.0,164.0,123.0
INCIDENT__251170-webtirf__9658,9658,2025-09-30 20:00:00,2025-09-30 17:00:00,2025-09-30 23:00:00,ACCIDENT,GROUP__9658__0030,INCIDENT,131.0,125.0,68.0,63.0,40.0,36.0,38.0
INCIDENT__251170.0-webtirf__9658,9658,2025-09-30 20:00:00,2025-09-30 17:00:00,2025-09-30 23:00:00,ACCIDENT,GROUP__9658__0030,INCIDENT,131.0,125.0,68.0,63.0,40.0,36.0,38.0
INCIDENT__253400-webtirf__9658,9658,2025-10-22 03:00:00,2025-10-22 00:00:00,2025-10-22 06:00:00,OTHER_DISRUPTION,GROUP__9658__0031,INCIDENT,149.0,101.0,63.0,90.0,179.0,530.0,854.0
