
============================================================
Running Strategy: GENERAL
============================================================
  Seed 42 ...
    Epoch  21 | Val MAE 0.1995 (best 0.2002)
    Epoch  23 | Val MAE 0.2046 (best 0.1995)
    Epoch  25 | Val MAE 0.2018 (best 0.1995)
    Epoch  27 | Val MAE 0.1984 (best 0.1976)
    Epoch  29 | Val MAE 0.2009 (best 0.1976)
    Epoch  31 | Val MAE 0.1972 (best 0.1965)
    Epoch  33 | Val MAE 0.2084 (best 0.1965)
    Epoch  35 | Val MAE 0.2002 (best 0.1965)
    Epoch  37 | Val MAE 0.2025 (best 0.1965)
    Epoch  39 | Val MAE 0.2036 (best 0.1936)
    Epoch  41 | Val MAE 0.2003 (best 0.1936)
    Epoch  43 | Val MAE 0.2017 (best 0.1936)
    Epoch  45 | Val MAE 0.1965 (best 0.1936)
    Epoch  47 | Val MAE 0.1958 (best 0.1936)
    Epoch  49 | Val MAE 0.1968 (best 0.1936)
    Epoch  51 | Val MAE 0.2031 (best 0.1936)
    Epoch  53 | Val MAE 0.1947 (best 0.1936)
    Val MAE avg: 0.1936  | Test MAE avg: 0.1836

============================================================
Running Strategy: TYPEEMB
============================================================
  Seed 42 ...
    Epoch   1 | Val MAE 0.2463 (best inf)
    Epoch   2 | Val MAE 0.2282 (best 0.2463)
    Epoch   3 | Val MAE 0.2216 (best 0.2282)
    Epoch   5 | Val MAE 0.2107 (best 0.2145)
    Epoch   7 | Val MAE 0.2198 (best 0.2107)
    Epoch   9 | Val MAE 0.2120 (best 0.2062)
    Epoch  11 | Val MAE 0.2093 (best 0.2062)
    Epoch  13 | Val MAE 0.2078 (best 0.2055)
    Epoch  15 | Val MAE 0.1974 (best 0.2011)
    Epoch  17 | Val MAE 0.2008 (best 0.1962)
    Epoch  19 | Val MAE 0.2007 (best 0.1962)
    Epoch  21 | Val MAE 0.1933 (best 0.1962)
    Epoch  23 | Val MAE 0.1972 (best 0.1933)
    Epoch  25 | Val MAE 0.2007 (best 0.1933)
    Epoch  27 | Val MAE 0.1966 (best 0.1933)
    Epoch  29 | Val MAE 0.1951 (best 0.1925)
    Epoch  31 | Val MAE 0.1984 (best 0.1925)
    Epoch  33 | Val MAE 0.1952 (best 0.1925)
    Epoch  35 | Val MAE 0.1946 (best 0.1925)
    Epoch  37 | Val MAE 0.1932 (best 0.1925)
    Epoch  39 | Val MAE 0.1949 (best 0.1925)
    Epoch  41 | Val MAE 0.1920 (best 0.1925)
    Epoch  43 | Val MAE 0.2033 (best 0.1920)
    Epoch  45 | Val MAE 0.1917 (best 0.1920)
    Epoch  47 | Val MAE 0.1882 (best 0.1917)
    Epoch  49 | Val MAE 0.1983 (best 0.1882)
    Epoch  51 | Val MAE 0.1940 (best 0.1882)
    Epoch  53 | Val MAE 0.1919 (best 0.1882)
    Epoch  55 | Val MAE 0.2050 (best 0.1882)
    Epoch  57 | Val MAE 0.1934 (best 0.1882)
    Epoch  59 | Val MAE 0.1926 (best 0.1882)
    Epoch  61 | Val MAE 0.1993 (best 0.1882)
    Val MAE avg: 0.1882  | Test MAE avg: 0.1807
  Seed 123 ...
    Epoch   1 | Val MAE 0.2580 (best inf)
    Epoch   2 | Val MAE 0.2356 (best 0.2580)
    Epoch   3 | Val MAE 0.2286 (best 0.2356)
    Epoch   5 | Val MAE 0.2127 (best 0.2184)
    Epoch   7 | Val MAE 0.2029 (best 0.2127)
    Epoch   9 | Val MAE 0.2064 (best 0.2029)
    Epoch  11 | Val MAE 0.2022 (best 0.2029)
    Epoch  13 | Val MAE 0.2027 (best 0.2005)
    Epoch  15 | Val MAE 0.2028 (best 0.1986)
    Epoch  17 | Val MAE 0.2060 (best 0.1986)
    Epoch  19 | Val MAE 0.1978 (best 0.1946)
    Epoch  21 | Val MAE 0.1998 (best 0.1946)
    Epoch  23 | Val MAE 0.1994 (best 0.1946)
    Epoch  25 | Val MAE 0.1974 (best 0.1946)
    Epoch  27 | Val MAE 0.1985 (best 0.1946)
    Epoch  29 | Val MAE 0.1948 (best 0.1946)
    Epoch  31 | Val MAE 0.2001 (best 0.1945)
    Epoch  33 | Val MAE 0.1949 (best 0.1945)
    Epoch  35 | Val MAE 0.2034 (best 0.1945)
    Epoch  37 | Val MAE 0.1958 (best 0.1945)
    Epoch  39 | Val MAE 0.1951 (best 0.1942)
    Epoch  41 | Val MAE 0.2016 (best 0.1942)
    Epoch  43 | Val MAE 0.1964 (best 0.1942)
    Epoch  45 | Val MAE 0.2107 (best 0.1942)
    Epoch  47 | Val MAE 0.2025 (best 0.1934)
    Epoch  49 | Val MAE 0.2081 (best 0.1934)
    Epoch  51 | Val MAE 0.2041 (best 0.1934)
    Epoch  53 | Val MAE 0.1976 (best 0.1934)
    Epoch  55 | Val MAE 0.1934 (best 0.1934)
    Epoch  57 | Val MAE 0.1973 (best 0.1934)
    Epoch  59 | Val MAE 0.1940 (best 0.1934)
    Epoch  61 | Val MAE 0.1936 (best 0.1934)
    Epoch  63 | Val MAE 0.2006 (best 0.1934)
    Epoch  65 | Val MAE 0.1974 (best 0.1934)
    Epoch  67 | Val MAE 0.1973 (best 0.1934)
    Epoch  69 | Val MAE 0.1946 (best 0.1934)
    Val MAE avg: 0.1934  | Test MAE avg: 0.1838
  Seed 777 ...
    Epoch   1 | Val MAE 0.2507 (best inf)
    Epoch   2 | Val MAE 0.2333 (best 0.2507)
    Epoch   3 | Val MAE 0.2307 (best 0.2333)
    Epoch   5 | Val MAE 0.2178 (best 0.2224)
    Epoch   7 | Val MAE 0.2134 (best 0.2098)
    Epoch   9 | Val MAE 0.2089 (best 0.2098)
    Epoch  11 | Val MAE 0.2063 (best 0.2026)
    Epoch  13 | Val MAE 0.2014 (best 0.2026)
    Epoch  15 | Val MAE 0.2049 (best 0.2014)
    Epoch  17 | Val MAE 0.2017 (best 0.1981)
    Epoch  19 | Val MAE 0.2020 (best 0.1981)
    Epoch  21 | Val MAE 0.1982 (best 0.1981)
    Epoch  23 | Val MAE 0.2007 (best 0.1981)
    Epoch  25 | Val MAE 0.2009 (best 0.1981)
    Epoch  27 | Val MAE 0.2160 (best 0.1981)
    Epoch  29 | Val MAE 0.1937 (best 0.1981)
    Epoch  31 | Val MAE 0.1979 (best 0.1937)
    Epoch  33 | Val MAE 0.1993 (best 0.1937)
    Epoch  35 | Val MAE 0.2004 (best 0.1937)
    Epoch  37 | Val MAE 0.2032 (best 0.1937)
    Epoch  39 | Val MAE 0.2028 (best 0.1937)
    Epoch  41 | Val MAE 0.1991 (best 0.1937)
    Epoch  43 | Val MAE 0.1945 (best 0.1937)
    Val MAE avg: 0.1937  | Test MAE avg: 0.1846

============================================================
FINAL RESULTS    Transformer Model
============================================================
Strategy       MAE-1h   MAE-3h   MAE-6h  MAE-avg  MAPE-1h  MAPE-3h  MAPE-6h  RMSE-1h  RMSE-3h  RMSE-6h
--------------------------------------------------------------------------------------------------------
general        0.1241   0.1813   0.2375   0.1860  155.23%  264.36%  393.82%   0.3021   0.4340   0.5660
binary         0.1254   0.1791   0.2366   0.1850  182.82%  271.07%  381.97%   0.3008   0.4271   0.5652
typeemb        0.1263   0.1768   0.2333   0.1830  179.06%  314.51%  367.93%   0.2975   0.4201   0.5574

Ablation Deltas:
  D1 (Binary - General) 1h: +0.0013
  D1 (Binary - General) 3h: -0.0022
  D1 (Binary - General) 6h: -0.0009
  D2 (TypeEmb - Binary) 1h: +0.0009
  D2 (TypeEmb - Binary) 3h: -0.0023
  D2 (TypeEmb - Binary) 6h: -0.0033
