max_depth,min_samples_leaf,min_samples_split,ccp_alpha,tree_depth,n_leaves,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
3.0,40,40,0.0,3,8,0.2308673469387755,0.3500467433211642,0.3347075169364326,0.3500467433211642,0.17914377101024317,0.12921414583056604
3.0,40,40,0.0005,3,8,0.2308673469387755,0.3500467433211642,0.3347075169364326,0.3500467433211642,0.17914377101024317,0.12921414583056604
3.0,40,40,0.001,3,7,0.2308673469387755,0.3500467433211642,0.3347075169364326,0.3500467433211642,0.17914377101024317,0.12921414583056604
5.0,5,10,0.0,5,23,0.27168367346938777,0.3414487017639633,0.32953630168640785,0.3414487017639633,0.19471672211430327,0.20676954722869767
5.0,5,10,0.0005,5,22,0.27168367346938777,0.3414487017639633,0.32953630168640785,0.3414487017639633,0.19471672211430327,0.20676954722869767
5.0,5,10,0.001,5,15,0.23214285714285715,0.34580936458653205,0.3209216542549876,0.34580936458653205,0.1793035219710839,0.13474400770326556
5.0,5,20,0.0,5,20,0.26785714285714285,0.3395619093111331,0.3269759364728343,0.3395619093111331,0.19141666492911133,0.2007269727200973
5.0,5,20,0.0005,5,20,0.26785714285714285,0.3395619093111331,0.3269759364728343,0.3395619093111331,0.19141666492911133,0.2007269727200973
5.0,5,20,0.001,5,15,0.23214285714285715,0.34580936458653205,0.3209216542549876,0.34580936458653205,0.1793035219710839,0.13474400770326556
5.0,5,40,0.0,5,19,0.26785714285714285,0.3395619093111331,0.3269759364728343,0.3395619093111331,0.19141666492911133,0.2007269727200973
5.0,5,40,0.0005,5,19,0.26785714285714285,0.3395619093111331,0.3269759364728343,0.3395619093111331,0.19141666492911133,0.2007269727200973
5.0,5,40,0.001,5,15,0.23214285714285715,0.34580936458653205,0.3209216542549876,0.34580936458653205,0.1793035219710839,0.13474400770326556
5.0,10,10,0.0,5,21,0.2780612244897959,0.34690800322995213,0.3457384467545022,0.34690800322995213,0.20529529318136044,0.21880072328369957
5.0,10,10,0.0005,5,21,0.2780612244897959,0.34690800322995213,0.3457384467545022,0.34690800322995213,0.20529529318136044,0.21880072328369957
5.0,10,10,0.001,5,13,0.22448979591836735,0.3504925676982042,0.29267065271549575,0.3504925676982042,0.17476691359668053,0.1152752108486185
5.0,10,20,0.0,5,21,0.2780612244897959,0.34690800322995213,0.3457384467545022,0.34690800322995213,0.20529529318136044,0.21880072328369957
5.0,10,20,0.0005,5,21,0.2780612244897959,0.34690800322995213,0.3457384467545022,0.34690800322995213,0.20529529318136044,0.21880072328369957
5.0,10,20,0.001,5,13,0.22448979591836735,0.3504925676982042,0.29267065271549575,0.3504925676982042,0.17476691359668053,0.1152752108486185
5.0,10,40,0.0,5,18,0.2755102040816326,0.3443743105075801,0.3411196957443447,0.3443743105075801,0.2034076902871229,0.216054523054903
5.0,10,40,0.0005,5,18,0.2755102040816326,0.3443743105075801,0.3411196957443447,0.3443743105075801,0.2034076902871229,0.216054523054903
5.0,10,40,0.001,5,13,0.22448979591836735,0.3504925676982042,0.29267065271549575,0.3504925676982042,0.17476691359668053,0.1152752108486185
5.0,20,10,0.0,5,20,0.2385204081632653,0.34824297428548684,0.3294458439922742,0.34824297428548684,0.19594222424206595,0.16062231373540425
5.0,20,10,0.0005,5,19,0.2385204081632653,0.34824297428548684,0.3294458439922742,0.34824297428548684,0.19594222424206595,0.16062231373540425
5.0,20,10,0.001,5,14,0.2385204081632653,0.3472041579947001,0.32569540612226716,0.3472041579947001,0.19321189796936067,0.15809978628558718
5.0,20,20,0.0,5,20,0.2385204081632653,0.34824297428548684,0.3294458439922742,0.34824297428548684,0.19594222424206595,0.16062231373540425
5.0,20,20,0.0005,5,19,0.2385204081632653,0.34824297428548684,0.3294458439922742,0.34824297428548684,0.19594222424206595,0.16062231373540425
5.0,20,20,0.001,5,14,0.2385204081632653,0.3472041579947001,0.32569540612226716,0.3472041579947001,0.19321189796936067,0.15809978628558718
5.0,20,40,0.0,5,20,0.2385204081632653,0.34824297428548684,0.3294458439922742,0.34824297428548684,0.19594222424206595,0.16062231373540425
5.0,20,40,0.0005,5,19,0.2385204081632653,0.34824297428548684,0.3294458439922742,0.34824297428548684,0.19594222424206595,0.16062231373540425
5.0,20,40,0.001,5,14,0.2385204081632653,0.3472041579947001,0.32569540612226716,0.3472041579947001,0.19321189796936067,0.15809978628558718
5.0,40,10,0.0,5,15,0.26658163265306123,0.3515450316740023,0.3402075744528114,0.3515450316740023,0.21366556317802612,0.20788506970846224
5.0,40,10,0.0005,5,15,0.26658163265306123,0.3515450316740023,0.3402075744528114,0.3515450316740023,0.21366556317802612,0.20788506970846224
