split_scheme,feature_level,class,partition,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean
Spatial,C,OTHER_DISRUPTION,test,0.23476022579796163,0.0025616089388349208,0.4031936127744511,0.10548670867643758,0.2933795957161049,0.02669968393151543,167.0
Spatial,C,OTHER_DISRUPTION,train,0.24184806730476302,0.008837110201868555,0.3909415971394517,0.014934402963220126,0.2986102156436757,0.005133507319468435,839.0
Spatial,C,OTHER_DISRUPTION,validation,0.23907932612271468,0.015908370860752002,0.32755298651252407,0.061807379315396684,0.2751471625244863,0.030332195608621854,173.0
Spatial,D,ACCIDENT,test,0.12581296050404853,0.020388823108920363,0.32432432432432434,0.10202478966582092,0.18018040137259372,0.03502645698783735,74.0
Spatial,D,ACCIDENT,train,0.11300238468856966,0.009801913735189384,0.3804034582132565,0.024957504431828186,0.17411789600347952,0.013122586938869224,347.0
Spatial,D,ACCIDENT,validation,0.09670423578622404,0.01386735653194849,0.30158730158730157,0.09246968410897655,0.14573579923969246,0.02500287589671555,84.0
Spatial,D,NORMAL,test,0.7054807089251621,0.010360801306245547,0.4317152103559871,0.12073756637182102,0.529325958622338,0.10130474406747049,515.0
Spatial,D,NORMAL,train,0.6930065161646656,0.018885562159062362,0.3767712885710502,0.06143925256340187,0.4861620314268371,0.052684119313470654,2517.0
Spatial,D,NORMAL,validation,0.6886688524790955,0.02339987243153147,0.4013357619914997,0.052865171951524556,0.5060554971651329,0.04551567040603757,549.0
Spatial,D,OTHER_DISRUPTION,test,0.24979731351775739,0.008297125555995868,0.3772455089820359,0.1425853999974929,0.2937057819916531,0.04084120041296194,167.0
Spatial,D,OTHER_DISRUPTION,train,0.25272565080697407,0.021871655113448775,0.3500198649185538,0.058419074557620305,0.2924644082861542,0.03141406036914504,839.0
Spatial,D,OTHER_DISRUPTION,validation,0.2502299211865097,0.020835981811758462,0.32947976878612717,0.07242753807018305,0.28299347450035595,0.03639409074553187,173.0
