station_id,wgs84_latitude,wgs84_longitude,road_name,suburb,post_code,device_type,quality_rating,year
7123-PR,-33.769588,150.768738,Pages Road,St Marys,2760,Tirtl,5,2025
7126,-34.035271,151.113007,Kingsway,Miranda,2228,Tirtl,5,2025
7132,-33.953056,151.137482,Princes Highway,Rockdale,2216,Tirtl,5,2025
7139,-33.876884,151.228683,New South Head Road,Darlinghurst,2010,Tirtl,5,2025
7150,-33.724922,150.977127,Showground Road,Castle Hill,2154,Tirtl,5,2025
7153,-33.8651123046875,151.041610717773,Olympic Drive,Lidcombe,2141,Tirtl,5,2025
7159,-33.888157,150.922974,Cambridge Street,Canley Heights,2166,Tirtl,5,2025
7161,-33.740406,151.060989,Pennant Hills Road,Pennant Hills,2120,Tirtl,5,2025
7162,-34.045811,151.133041,Kingsway,Woolooware,2230,Tirtl,5,2025
7163,-33.865181,151.171997,Victoria Road,Rozelle,2039,Tirtl,5,2025
7164,-33.81562,150.969238,Great Western Highway,South Wentworthville,2145,Tirtl,5,2025
7168,-33.798195,150.897125,Great Western Highway,Blacktown,2148,Tirtl,5,2025
7179,-33.817272,150.962784,Jersey Road,South Wentworthville,2145,Tirtl,5,2025
7184,-33.772957,151.135391,Ryde Road,West Pymble,2073,Tirtl,5,2025
72027,-33.740467,150.984421,Windsor Road,Baulkham Hills,2153,Tirtl,4,2025
7212,-32.92701,151.757919,Stewart Avenue,Hamilton East,2303,Tirtl,5,2025
7216,-34.425961,150.887421,Gladstone Avenue,Wollongong,2500,Tirtl,5,2025
7217,-34.449482,150.849564,Princes Highway,Unanderra,2526,Tirtl,5,2025
7220,-34.5301895141602,150.869140625,Windang Road,Windang,2528,Tirtl,5,2025
7248,-33.906151,151.040207,Stacey Street,Bankstown,2200,Tirtl,5,2025
7251,-33.874916,151.155319,City-West Link Road,Lilyfield,2040,Tirtl,5,2025
7270,-33.793304,151.119659,Lane Cove Road,North Ryde,2113,Tirtl,5,2025
7272,-33.916008,151.014008,Edgar Street,Bankstown,2200,Tirtl,5,2025
7274,-33.779202,150.814102,Great Western Highway,Minchinbury,2770,Tirtl,5,2025
7275,-33.894714,151.110962,Georges River Road,Croydon Park,2133,Tirtl,5,2025
7289,-32.906013,151.671356,Thomas Street,Wallsend,2287,Tirtl,5,2025
74228,-33.723019,151.036606,New Line Road,Cherrybrook,2126,Tirtl,5,2025
74229,-33.760658,151.07962,Beecroft Road,Cheltenham,2119,Excel Lpl,4,2025
74230,-33.724735,151.086151,Pennant Hills Road,Thornleigh,2120,Excel Pp,4,2025
9658,-33.79353,151.018829,Pennant Hills Road,Oatlands,2117,Tirtl,5,2025
9827,-33.719955,151.298111,Pittwater Road,Narrabeen,2101,Tirtl,5,2025
9834-PR,-34.033203,151.092529,Kingsway,Miranda,2228,Tirtl,5,2025
9836-PR,-33.819687,151.117416,Victoria Road,Ryde,2112,Tirtl,5,2025
9849,-33.877975,151.093185,The Boulevarde,Strathfield,2135,Tirtl,5,2025
F3FWY001,-33.694206,151.121323,Pacific Motorway,North Wahroonga,2076,Tirtl,5,2025
F3FWY002,-33.651676,151.137741,Pacific Motorway,Mount Kuring-Gai,2080,Tirtl,4,2025
F3FWY003,-33.560299,151.192551,Pacific Motorway,Cowan,2081,Tirtl,5,2025
F3FWY004,-33.496265,151.187408,Pacific Motorway,Bar Point,2083,Tirtl,4,2025
F3FWY005,-33.429348,151.22467,Pacific Motorway,Calga,2250,Tirtl,4,2025
