match_key,station_key,date,associated_parent_station_id,hour_str,flow,hour_int,flow_dt
18479658,18479658,2025-01-11 00:00:00+00,9658,hour_00,44.0,0,2025-01-11 00:00:00
17126147,17126147,2025-01-11 00:00:00+00,7126,hour_00,4.0,0,2025-01-11 00:00:00
17126148,17126148,2025-01-11 00:00:00+00,7126,hour_00,21.0,0,2025-01-11 00:00:00
18479658,18479658,2025-01-11 00:00:00+00,9658,hour_00,4.0,0,2025-01-11 00:00:00
17126148,17126148,2025-01-11 00:00:00+00,7126,hour_00,41.0,0,2025-01-11 00:00:00
15334016,15334016,2025-01-11 00:00:00+00,34016,hour_00,132.0,0,2025-01-11 00:00:00
17126149,17126149,2025-01-11 00:00:00+00,7126,hour_00,222.0,0,2025-01-11 00:00:00
18479658,18479658,2025-01-12 00:00:00+00,9658,hour_00,55.0,0,2025-01-12 00:00:00
15334016,15334016,2025-01-12 00:00:00+00,34016,hour_00,291.0,0,2025-01-12 00:00:00
18479658,18479658,2025-01-12 00:00:00+00,9658,hour_00,5.0,0,2025-01-12 00:00:00
18479658,18479658,2025-01-12 00:00:00+00,9658,hour_00,2.0,0,2025-01-12 00:00:00
17126147,17126147,2025-01-12 00:00:00+00,7126,hour_00,2.0,0,2025-01-12 00:00:00
17126149,17126149,2025-01-12 00:00:00+00,7126,hour_00,409.0,0,2025-01-12 00:00:00
17126149,17126149,2025-01-12 00:00:00+00,7126,hour_00,20.0,0,2025-01-12 00:00:00
15334016,15334016,2025-01-12 00:00:00+00,34016,hour_00,8.0,0,2025-01-12 00:00:00
18479658,18479658,2025-01-12 00:00:00+00,9658,hour_00,114.0,0,2025-01-12 00:00:00
17126147,17126147,2025-01-12 00:00:00+00,7126,hour_00,4.0,0,2025-01-12 00:00:00
18479658,18479658,2025-01-13 00:00:00+00,9658,hour_00,23.0,0,2025-01-13 00:00:00
18479658,18479658,2025-01-13 00:00:00+00,9658,hour_00,5.0,0,2025-01-13 00:00:00
17126147,17126147,2025-01-13 00:00:00+00,7126,hour_00,4.0,0,2025-01-13 00:00:00
18479658,18479658,2025-01-13 00:00:00+00,9658,hour_00,3.0,0,2025-01-13 00:00:00
17126147,17126147,2025-01-13 00:00:00+00,7126,hour_00,3.0,0,2025-01-13 00:00:00
