sample_id,incident_id,station_id,anchor_time,target,split_group_id,is_control,control_fallback_flag,duration_hours,log_flow_m3,rel_change_m3,log_flow_m2,rel_change_m2,log_flow_m1,rel_change_m1,log_flow_p0,rel_change_p0,log_flow_p1,rel_change_p1,log_flow_p2,rel_change_p2,log_flow_p3,rel_change_p3,pre_mean,response_mean,mean_shift,response_min,max_abs_relative_change,pre_slope,response_slope,partition
INC_231508-webtirf_53004,231508-webtirf,53004,2025-04-15 04:00:00,OTHER_DISRUPTION,G000387,0,0,2.4480675,1.9459101490553132,-0.5625,2.772588722239781,0.0,3.044522437723423,0.3125,3.4965075614664802,1.0625,4.605170185988092,5.0,5.594711379601839,5.0,5.2574953720277815,5.0,13.666666666666666,147.5,133.83333333333334,32.0,5.0,7.000000000000003,64.6,validation
INC_246810.0-webtirf_53004,246810.0-webtirf,53004,2025-08-21 22:00:00,ACCIDENT,G000405,0,0,0.9193458333333332,3.912023005428146,0.35135135135135137,3.6109179126442243,0.0,3.4339872044851463,-0.16216216216216217,3.4657359027997265,-0.13513513513513514,3.258096538021482,-0.2972972972972973,5.1298987149230735,3.5675675675675675,4.394449154672439,1.1891891891891893,38.333333333333336,76.0,37.666666666666664,25.0,3.5675675675675675,-9.499999999999993,29.0,validation
INC_250776-webtirf_53004,250776-webtirf,53004,2025-09-26 03:00:00,OTHER_DISRUPTION,G000412,0,0,0.5,2.833213344056216,0.0,2.8903717578961645,0.058823529411764705,2.833213344056216,0.0,3.295836866004329,0.5882352941176471,3.6109179126442243,1.1764705882352942,4.812184355372417,5.0,5.476463551931511,5.0,16.333333333333332,105.5,89.16666666666667,26.0,5.0,2.6998680664303344e-15,72.20000000000002,validation
INC_255280-webtirf_53004,255280-webtirf,53004,2025-11-10 07:00:00,ACCIDENT,G000422,0,0,0.5,2.9444389791664403,-0.62,3.912023005428146,0.0,4.30406509320417,0.48,4.330733340286331,0.52,4.672828834461906,1.14,4.852030263919617,1.56,4.727387818712341,1.26,46.666666666666664,105.0,58.333333333333336,75.0,1.56,27.500000000000007,13.199999999999989,validation
INC_255280.0-webtirf_53004,255280.0-webtirf,53004,2025-11-10 07:00:00,ACCIDENT,G000422,0,0,0.5,2.9444389791664403,-0.62,3.912023005428146,0.0,4.30406509320417,0.48,4.330733340286331,0.52,4.672828834461906,1.14,4.852030263919617,1.56,4.727387818712341,1.26,46.666666666666664,105.0,58.333333333333336,75.0,1.56,27.500000000000007,13.199999999999989,validation
INC_255907-webtirf_53004,255907-webtirf,53004,2025-11-16 20:00:00,OTHER_DISRUPTION,G000423,0,0,1.0297730555555555,3.58351893845611,0.0,3.6375861597263857,0.05555555555555555,3.332204510175204,-0.2222222222222222,2.9444389791664403,-0.4722222222222222,3.295836866004329,-0.25,2.833213344056216,-0.5277777777777778,2.0794415416798357,-0.7777777777777778,33.0,16.75,-16.25,7.0,0.7777777777777778,-3.999999999999994,-4.300000000000003,validation
INC_224672-webtirf_55049,224672-webtirf,55049,2025-02-21 16:00:00,ACCIDENT,G000430,0,0,2.665590555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation
INC_232952-webtirf_55049,232952-webtirf,55049,2025-04-29 06:00:00,OTHER_DISRUPTION,G000434,0,0,1.449086388888889,2.833213344056216,-0.7301587301587301,4.143134726391533,0.0,5.564520407322694,3.142857142857143,6.690842277418564,5.0,6.967909201801884,5.0,7.074963197966044,5.0,6.773080375655535,5.0,112.66666666666667,979.75,867.0833333333334,804.0,5.0,122.00000000000003,32.699999999999754,validation
INC_234670.0-webtirf_55049,234670.0-webtirf,55049,2025-05-15 05:00:00,OTHER_DISRUPTION,G000435,0,0,0.5,1.9459101490553132,-0.2222222222222222,2.1972245773362196,0.0,3.091042453358316,1.4444444444444444,3.9318256327243257,4.666666666666667,4.941642422609304,5.0,4.844187086458591,5.0,5.0106352940962555,5.0,11.666666666666666,116.0,104.33333333333333,50.0,5.0,7.500000000000003,28.39999999999999,validation
INC_255128-webtirf_55049,255128-webtirf,55049,2025-11-08 04:00:00,OTHER_DISRUPTION,G000439,0,0,0.5250533333333334,2.9444389791664403,0.7272727272727273,2.3978952727983707,0.0,2.3978952727983707,0.0,2.5649493574615367,0.18181818181818182,3.4339872044851463,1.8181818181818181,4.2626798770413155,5.0,4.532599493153256,5.0,12.666666666666666,51.0,38.333333333333336,12.0,5.0,-4.0,28.0,validation
